Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,true,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,Fantasy and literature fans,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
