Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17340464,"Trust: A New Beginning (Trust Trilogy, #1)",Cristiane Serruya,"Serruya, Cristiane",,"=""148195962X""","=""9781481959629""",0,3.82,CreateSpace,Hardcover,459,2013,2012,,2013/06/24,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
13453140,"Barcode: Legend of Apollo (Barcode, #1)",Kashif Ross,"Ross, Kashif",,"=""""","=""""",0,3.72,,Kindle Edition,337,2012,2012,,2013/06/24,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
17245,Dracula,Bram Stoker,"Stoker, Bram","Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",3,4.00,Norton,Paperback,488,1986,1897,2013/06/24,2013/06/17,"fantasy, academic","fantasy (#27), academic (#3)",read,,,,1,,,0,,,,,
13536803,"Attack on Titan, Vol. 3 (Attack on Titan, #3)",Hajime Isayama,"Isayama, Hajime",,"=""1612620264""","=""9781612620268""",0,4.43,Kodansha Comics,Paperback,208,2012,2010,,2013/06/10,comic-manga,comic-manga (#9),read,,,,1,,,0,,,,,
18423,"The Left Hand of Darkness (Hainish Cycle, #4)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.07,Ace,Paperback,304,2000,1969,,2013/06/21,"to-read, academic","to-read (#58), academic (#11)",to-read,,,,0,,,0,,,,,
954674,"Little Brother (Little Brother, #1)",Cory Doctorow,"Doctorow, Cory",,"=""0765319853""","=""9780765319852""",0,3.93,Tor Books,Hardcover,382,2008,2008,,2013/06/21,"academic, to-read","academic (#12), to-read (#59)",to-read,,,,0,,,0,,,,,
531509,Herland,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Ann J. Lane,"=""0394736656""","=""9780394736655""",0,3.49,Pantheon,Paperback,147,1979,1915,,2013/06/21,"to-read, academic","to-read (#57), academic (#10)",to-read,,,,0,,,0,,,,,
40395,"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,"Burroughs, Edgar Rice",John Seelye,"=""0143104888""","=""9780143104889""",0,3.81,Penguin Books,Paperback,186,2007,1912,,2013/06/21,"academic, to-read","academic (#9), to-read (#56)",to-read,,,,0,,,0,,,,,
15986051,The Star,H.G. Wells,"Wells, H.G.",,"=""""","=""""",0,3.62,eBooks@Adelaide,ebook,15,,1897,,2013/06/21,"to-read, academic","to-read (#55), academic (#8)",to-read,,,,0,,,0,,,,,
8518400,The Country of the Blind,H.G. Wells,"Wells, H.G.",,"=""0554240297""","=""9780554240299""",0,3.87,BiblioLife,Hardcover,472,2008,1904,,2013/06/21,"academic, to-read","academic (#7), to-read (#54)",to-read,,,,0,,,0,,,,,
17184,The Invisible Man,H.G. Wells,"Wells, H.G.",,"=""0451528522""","=""9780451528520""",0,3.64,Signet Classics,Paperback,192,2002,1897,,2013/06/21,"academic, to-read","academic (#6), to-read (#53)",to-read,,,,0,,,0,,,,,
29981,The Island of Doctor Moreau,H.G. Wells,"Wells, H.G.",,"=""0553214322""","=""9780553214321""",0,3.73,Bantam Classics,Paperback,153,1994,1896,,2013/06/21,"academic, to-read","academic (#5), to-read (#52)",to-read,,,,0,,,0,,,,,
1584974,"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,"Wilson, C.L.",,"=""0843959770""","=""9780843959772""",0,4.00,Leisure Books,Mass Market Paperback,406,2007,2007,,2013/06/21,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
7268566,"The Fire Lord's Lover (The Elven Lords, #1)",Kathryne Kennedy,"Kennedy, Kathryne",,"=""1402236522""","=""9781402236525""",0,3.50,Sourcebooks Casablanca,Mass Market Paperback,378,2010,2010,,2013/06/21,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
8706185,Among Others,Jo Walton,"Walton, Jo",,"=""076532153X""","=""9780765321534""",0,3.69,Tor Books,Hardcover,304,2011,2011,,2013/06/21,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
17968674,"The City of Worms (Everville, #2)",Roy Huff,"Huff, Roy",,"=""0988936429""","=""9780988936423""",0,4.21,Roy Huff,Paperback,228,2013,2013,,2013/06/21,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
